language	p12	d12	p23	d23	p34	d34	start	minimum	maximum	finish	curve	curve2
Erzya	1.7515867584978318e-13	0.47099097174934784	1.041146529313449	-0.07278568454036514			1	6	1	8	down-flat	down
Estonian	1.9256998447262687e-185	0.43114464917389006	3.3388435359816797e-10	-0.5942628954219494			1	4	1	19	down-up	down-up
Faroese	1.1249744170728784e-15	0.9990300899198891	0.3163870634165227	-0.11489919787916775			1	4	1	13	down-flat	down
Finnish	0.0	0.8170974479072779	1.0281030165582662e-06	-0.5540753898148967			1	4	1	18	down-up	down-up
French	5.992870289605293e-236	1.4326662159784227	0.1616495799816008	-0.1495638169339337			1	7	1	32	down-flat	down
Galician	4.07273113042832e-168	1.424370872771249	1.4928842367853	-0.03223142522232419			1	8	1	28	down-flat	down
German	4.446383783174052e-239	0.6819534154455664	0.059479434499174	-0.10161969262193112			1	2	1	35	down-flat	down
Gothic	1.0984006956169498e-230	1.3367334192847113	9.75256134442197e-05	-0.5426376085257273			1	8	1	14	down-up	down-up
Greek	7.94541731911235e-35	1.2482547956461285	0.3073491783672916	-0.20949105419134054			1	13	1	19	down-flat	down
Hebrew	1.2086274192690035e-50	0.7217923881658165	0.9355871026546956	-0.06415327874260368			1	7	1	19	down-flat	down
Hindi	1.797197445461386e-18	0.9680362356818477	8.241193398010497e-11	-0.5474292238304792			1	6	1	34	down-up	down-up
Hungarian	0.007228828992740426	0.3442090946516964	0.003084075393411346	-0.2932406625385619			1	4	1	19	down-up	down-up
Icelandic	3.299192790121334e-61	0.4101170152465999	0.00031059111618852086	-0.26887476571046404			1	3	1	28	down-up	down-up
Indonesian	6.485523323162203e-23	0.5569294757518481					1	23	1	23	down	down
Irish	1.7926126054160095e-17	0.8984356464046651	1.9198252914079116e-15	-0.6168580009456068			1	3	1	23	down-up	down-up
Italian	1.8451901763699966e-308	1.2558334219398983	2.661495532812306e-05	-0.2900268944621642			1	5	1	34	down-up	down-up
Japanese	1.7589929103026975e-144	1.0675153929033843	0.27479855489632765	-0.22879419948170213			1	20	1	25	down-flat	down
Kazakh	0.004175589653784497	-0.26216371128917965					1	1	8	8	up	up
Kiche	4.4352277089038987e-72	1.633077529599368	0.785575697963764	-0.1448334673141987			1	7	1	8	down-flat	down
Komi_Zyrian	6.2279174182824994e-24	0.9857323195183817					1	8	1	8	down	down
Korean	2.870917500966916e-31	0.6141159938620904	1.4316463161550748	-0.058946767190341205			1	16	1	17	down-flat	down
Kurmanji	5.597363526314431e-16	1.6477129422738392	0.009461159553423063	-0.4258583292360308			1	5	1	11	down-up	down-up
Latin	0.0	0.9637551091131602	0.018917795884376618	-0.2723091461523554			1	15	1	31	down-up	down-up
Latvian	4.037546325963263e-99	0.5790037264715086	2.18458406621867e-08	-0.5549533287639782			1	4	1	19	down-up	down-up
Lithuanian	8.085143663325081e-60	0.6274015667590266	0.03162551759319586	-0.23323666234045445			1	5	1	14	down-up	down-up
Maltese	4.646727628839313e-63	1.0453110526720466	1.0734502042770149	-0.06480894827334321			1	6	1	15	down-flat	down
Manx	6.443609593326153e-09	1.9647819613269997	0.0073879392441490235	-0.40410303795494795			1	5	1	10	down-up	down-up
North_Sami	1.7320237748402317e-19	0.8432682983167084	1.1918419725026683e-08	-0.7296749880117258			1	4	1	10	down-up	down-up
Norwegian	5.540889756049491e-35	0.375470290381329	1.5968286078932983e-09	-0.5734341618424597			1	3	26	26	down-up	down-up
Old_Church_Slavonic	1.139281372253258e-142	1.060400714762398	0.33654163277449145	-0.23523539963875523			1	10	1	13	down-flat	down
Old_East_Slavic	3.308756238009815e-148	0.8725585378719677	4.8795949456350587e-05	-0.49685248772379864			1	6	1	20	down-up	down-up
Old_French	4.7700504696779086e-219	1.8663077825823886	0.04105158986922767	-0.34383747970706996			1	8	1	17	down-up	down-up
Persian	6.0186219454384115e-81	-0.46080665785595787	2.911852497633437e-11	0.284607621885614			1	1	2	29	up-down	up-down
Polish	0.0	1.1716067387913052	3.8503913649437775e-09	-0.5870952831123402			1	4	1	22	down-up	down-up
Portuguese	4.469276515873134e-222	0.8139410452875676	0.7708521327861944	-0.10894428576483058			1	21	1	34	down-flat	down
Romanian	1.9057896311478105e-85	0.4646767037480754	8.821376040148349e-10	-1.0015661625256027			1	5	32	32	down-up	down-up
Russian	0.0	0.6393931803602394	3.278376812926093e-05	-0.43564337602870196			1	5	1	28	down-up	down-up
Sanskrit	2.115879592009864e-48	0.8341827858098372	1.4707322334489166	-0.05788112598637651			1	8	1	10	down-flat	down
Scottish_Gaelic	6.760345881341934e-07	0.46510143472444304	2.165861207242759e-10	-0.5349680073833466			1	3	1	19	down-up	down-up
Serbian	3.1946388927217056e-23	1.3831202181194342	3.4085401006116945e-14	-0.659975191304134			1	3	1	20	down-up	down-up
Slovak	3.5528555015433175e-54	0.783136967136281	3.759168441136634e-10	-0.8831591862741899			1	4	1	16	down-up	down-up
Slovenian	2.0158602089285348e-22	0.4021182426538504	2.0256902072644938e-19	-0.7862994798412599	2.690220550309093	0.02155015086085318	1	3	19	20	down-up-flat	down-up
Spanish	1.5886570507326627e-285	0.8243375555137157	0.24410676942713908	-0.2267983771891348			1	22	1	37	down-flat	down
Swedish	4.862019145316969e-44	1.0235190990791774	0.0027531306045431906	-0.2867076834996682			1	4	1	21	down-up	down-up
Tamil	0.00011558663876076428	0.4816155617795145	0.3097885126332161	-0.1841804381902582			1	5	1	10	down-flat	down
Thai	9.681767389087378e-07	0.28558247224801525	0.005853713118985258	-0.2887467355105615			1	4	1	14	down-up	down-up
Turkish	0.0	0.859442109550099	0.3443843095043711	-0.10204861232505777			1	4	1	20	down-flat	down
Turkish_German	6.324902056823297e-54	1.1673299312456402					1	14	1	14	down	down
Ukrainian	2.0712154098968482e-54	0.7009606117909556	3.519934867405551e-07	-0.5173249097340018			1	3	1	19	down-up	down-up
Upper_Sorbian	1.6600146457323985	0.03924181469305324	0.013075257490727656	-0.41073929627966826			2	5	11	11	flat-up	up
Urdu	2.3290766817299714e-15	0.9794884682526871	0.003078257981005152	-0.302637589076391			1	6	1	30	down-up	down-up
Uyghur	0.01917043564676942	-0.1349918098428052	0.05441610751614277	0.13974508482089723			1	1	2	12	flat-flat	flat
Vietnamese	6.305644287349733e-10	0.3696548043328712	1.1222451163585028	-0.08257464488464958			1	7	1	8	down-flat	down
Welsh	1.0193440178075216e-08	1.0452888504320368	0.0025746334229016852	-0.39685485895907124			1	6	1	17	down-up	down-up
Western_Armenian	1.90178636189403e-24	0.7017819945685364	0.004571502115946303	-0.3146449131372936			1	6	1	14	down-up	down-up
Wolof	1.5048983172924464e-31	0.8308365462939984	8.869170947837647e-08	-0.5350007919661571			1	2	1	13	down-up	down-up
